index,Regions,Q1-Q4 2019,Q1-Q4 2020,Q1-Q4 2021,2021/2020,2021/2019
0,EUROPE,"2,09,30,716","1,67,12,898","1,68,74,893",1%,-19%
1,EU 27 countries + EFTA + UK,"1,84,24,199","1,40,79,756","1,41,33,619",0.40%,-23%
2,AUSTRIA,"3,71,934","3,01,617","3,06,176",2%,-18%
3,BELGIUM,"6,42,000","5,09,994","4,62,536",-9%,-28%
4,BULGARIA,"44,977","29,663","34,472",16%,-23%
5,CROATIA,"73,862","43,800","54,330",24%,-26%
6,CZECH REPUBLIC,"2,81,423","2,28,834","2,36,221",3%,-16%
7,DENMARK,"2,64,073","2,33,271","2,21,937",-5%,-16%
8,FINLAND,"1,33,505","1,12,988","1,15,291",2%,-14%
9,FRANCE,"27,55,728","21,00,030","21,42,284",2%,-22%
10,GERMANY,"40,17,059","32,66,759","29,73,319",-9%,-26%
11,GREECE,"1,22,990","88,710","1,12,364",27%,-9%
12,HUNGARY,"1,90,090","1,53,978","1,50,387",-2%,-21%
13,IRELAND,"1,45,104","1,12,122","1,36,126",21%,-6%
14,ITALY,"21,32,630","15,64,756","16,64,483",6%,-22%
15,NETHERLANDS,"5,38,739","4,27,162","4,05,061",-5%,-25%
16,NORWAY,"1,89,824","1,80,592","2,17,572",20%,15%
17,POLAND,"6,56,258","5,10,153","5,54,613",9%,-15%
18,PORTUGAL,"2,65,827","1,73,989","1,83,390",5%,-31%
19,ROMANIA,"1,89,504","1,45,507","1,44,222",-1%,-24%
20,SLOVAKIA,"1,13,863","84,909","87,349",3%,-23%
21,SPAIN,"15,01,244","10,30,746","10,34,063",0%,-31%
22,SWEDEN,"4,18,478","3,30,215","3,43,880",4%,-18%
23,SWITZERLAND ,"3,52,968","2,69,391","2,72,249",1%,-23%
24,UNITED KINGDOM,"27,36,559","19,64,660","20,44,091",4%,-25%
25,OTHER COUNTRIES,"2,85,560","2,15,910","2,37,203",10%,-17%
26,"RUSSIA, TURKEY & OTHER EUROPE","25,06,517","26,33,142","27,41,274",4%,9%
27,RUSSIA,"17,78,841","16,31,163","17,41,965",7%,-2%
28,TURKEY,"4,91,947","7,96,150","7,72,722",-3%,57%
29,UKRAINE,"1,02,542","98,986","1,21,772",23%,19%
30,OTHER COUNTRIES/REGIONS ,"1,33,187","1,06,843","96,819",-9%,-27%
